customer_id,transaction_amount,transaction_date
ACC364,7,04/01/2017 13:38
ACC149,55,19/01/2017 05:32
ACC361,80,21/04/2017 12:42
ACC340,80,03/01/2017 13:47
ACC210,90,19/05/2017 21:12
ACC123,38,12/03/2017 19:09
ACC413,18,12/04/2017 06:09
ACC324,96,13/03/2017 13:42
ACC254,54,24/02/2017 08:27
ACC480,87,19/05/2017 14:18
ACC378,14,12/05/2017 04:30
ACC132,14,16/01/2017 07:55
ACC471,50,29/05/2017 07:03
ACC338,20,17/03/2017 15:48
ACC449,11,29/03/2017 01:57
ACC384,59,28/05/2017 10:32
ACC462,58,12/01/2017 07:55
ACC275,98,06/03/2017 14:23
ACC191,32,12/05/2017 22:31
ACC123,4,05/01/2017 00:05
ACC327,54,25/03/2017 18:22
ACC235,69,19/01/2017 18:49
ACC107,38,11/01/2017 14:47
ACC246,21,27/05/2017 09:59
ACC408,53,10/03/2017 04:12
ACC118,33,28/04/2017 23:21
ACC361,57,07/05/2017 07:44
ACC374,18,18/02/2017 00:13
ACC150,29,14/02/2017 05:47
ACC143,63,21/03/2017 02:21
ACC333,26,13/05/2017 16:05
ACC371,60,20/03/2017 04:11
ACC304,93,01/01/2017 23:13
ACC274,66,06/03/2017 02:59
ACC277,60,22/03/2017 22:03
ACC441,66,06/04/2017 18:17
ACC495,24,24/02/2017 18:49
ACC206,73,05/04/2017 20:13
ACC231,94,05/02/2017 22:18
ACC250,2,16/05/2017 02:43
ACC203,51,02/03/2017 02:27
ACC481,43,19/03/2017 13:58
ACC354,37,13/03/2017 08:27
ACC104,80,05/05/2017 07:14
ACC239,84,10/01/2017 06:53
ACC481,75,14/04/2017 16:46
ACC129,6,08/05/2017 09:34
ACC447,8,09/04/2017 03:38
ACC351,3,20/05/2017 12:59
ACC440,68,22/05/2017 14:03
ACC250,37,08/04/2017 05:09
ACC218,69,10/03/2017 21:10
ACC370,19,10/03/2017 20:36
ACC387,44,03/01/2017 13:54
ACC133,84,28/03/2017 18:32
ACC276,3,25/04/2017 20:17
ACC469,87,12/05/2017 10:18
ACC357,46,21/04/2017 04:56
ACC223,76,27/02/2017 09:54
ACC335,68,12/02/2017 00:24
ACC101,85,29/03/2017 19:57
ACC359,75,06/02/2017 01:55
ACC172,4,19/01/2017 10:03
ACC328,41,23/04/2017 16:31
ACC382,63,11/04/2017 08:13
ACC326,23,23/05/2017 15:55
ACC291,71,23/01/2017 09:25
ACC429,87,09/03/2017 06:17
ACC464,42,25/02/2017 04:15
ACC148,65,03/03/2017 09:21
ACC482,70,29/03/2017 07:31
ACC241,46,01/03/2017 03:17
ACC368,27,04/02/2017 16:42
ACC266,36,03/01/2017 19:25
ACC243,93,16/01/2017 16:39
ACC313,94,24/05/2017 07:00
ACC173,84,17/02/2017 06:27
ACC405,88,19/05/2017 12:28
ACC483,94,08/03/2017 17:44
ACC274,47,11/02/2017 16:41
ACC355,96,24/01/2017 12:13
ACC292,12,21/05/2017 23:52
ACC382,40,25/01/2017 06:09
ACC164,52,29/04/2017 04:01
ACC220,11,29/05/2017 21:18
ACC428,78,01/04/2017 18:43
ACC297,98,14/01/2017 07:13
ACC299,69,05/01/2017 12:12
ACC216,16,24/01/2017 15:41
ACC215,17,11/05/2017 13:27
ACC350,36,22/05/2017 02:08
ACC255,83,25/01/2017 19:05
ACC280,7,05/01/2017 14:56
ACC110,70,20/01/2017 18:52
ACC331,6,11/04/2017 00:01
ACC324,58,09/02/2017 05:22
ACC407,53,05/04/2017 15:32
ACC117,20,31/05/2017 22:50
ACC163,60,09/02/2017 12:05
ACC397,2,01/01/2017 18:29
ACC221,42,25/04/2017 14:16
ACC281,85,14/02/2017 14:02
ACC189,24,23/02/2017 17:49
ACC412,51,13/05/2017 03:10
ACC302,88,02/04/2017 14:41
ACC301,51,17/04/2017 23:36
ACC455,91,02/03/2017 15:16
ACC327,57,29/04/2017 12:45
ACC472,89,28/05/2017 19:08
ACC494,47,09/02/2017 16:27
ACC289,86,01/04/2017 04:28
ACC464,41,01/02/2017 11:46
ACC172,15,26/03/2017 02:36
ACC454,49,10/01/2017 08:50
ACC340,21,11/01/2017 08:43
ACC106,78,21/05/2017 03:36
ACC227,90,18/04/2017 07:04
ACC184,82,07/02/2017 00:45
ACC305,98,09/02/2017 15:11
ACC396,18,22/03/2017 16:49
ACC464,69,11/02/2017 01:26
ACC252,13,19/02/2017 21:20
ACC388,56,12/01/2017 22:00
ACC305,71,04/03/2017 09:51
ACC111,72,18/02/2017 12:13
ACC311,41,27/03/2017 03:49
ACC137,38,22/05/2017 07:10
ACC351,71,31/03/2017 18:50
ACC441,57,09/01/2017 14:46
ACC468,44,17/02/2017 01:05
ACC356,67,17/03/2017 13:05
ACC448,88,28/02/2017 21:34
ACC124,59,17/03/2017 18:49
ACC269,68,20/02/2017 17:13
ACC214,60,04/03/2017 23:26
ACC136,52,13/05/2017 12:21
ACC228,19,24/02/2017 09:00
ACC378,74,08/04/2017 03:46
ACC124,35,10/05/2017 14:49
ACC457,66,22/04/2017 04:22
ACC183,67,21/01/2017 08:31
ACC378,1,01/02/2017 01:00
ACC158,10,14/05/2017 13:16
ACC460,20,25/04/2017 23:54
ACC201,27,14/02/2017 16:29
ACC355,77,04/01/2017 18:43
ACC448,89,17/04/2017 10:04
ACC363,25,11/02/2017 21:12
ACC495,65,11/03/2017 00:04
ACC458,14,03/01/2017 20:46
ACC385,53,19/03/2017 01:18
ACC300,33,03/01/2017 23:54
ACC152,13,29/03/2017 20:08
ACC238,19,14/03/2017 20:04
ACC354,11,29/01/2017 08:31
ACC211,41,02/03/2017 12:57
ACC355,92,19/01/2017 03:15
ACC405,50,29/04/2017 12:46
ACC134,46,10/02/2017 16:45
ACC100,36,13/03/2017 06:12
ACC412,6,20/04/2017 23:19
ACC333,78,11/01/2017 10:18
ACC121,18,06/03/2017 03:34
ACC275,95,07/03/2017 13:58
ACC375,57,28/03/2017 21:15
ACC250,53,22/02/2017 16:12
ACC422,31,23/04/2017 16:18
ACC314,44,13/02/2017 01:50
ACC324,52,18/02/2017 16:56
ACC300,6,06/05/2017 23:01
ACC487,94,21/03/2017 22:45
ACC345,16,13/03/2017 20:27
ACC219,91,16/02/2017 05:24
ACC333,74,24/02/2017 23:09
ACC341,17,07/05/2017 06:09
ACC400,29,03/03/2017 11:28
ACC222,33,08/02/2017 16:20
ACC461,63,23/02/2017 09:02
ACC415,42,02/01/2017 11:19
ACC124,76,15/03/2017 02:49
ACC376,55,26/02/2017 02:45
ACC252,77,20/02/2017 06:43
ACC387,2,27/05/2017 19:51
ACC308,33,20/05/2017 19:01
ACC254,60,30/01/2017 16:20
ACC249,88,22/03/2017 21:26
ACC269,74,19/04/2017 09:57
ACC282,32,16/04/2017 14:27
ACC213,29,30/01/2017 16:37
ACC239,35,10/01/2017 07:10
ACC199,56,23/01/2017 06:05
ACC483,15,27/03/2017 03:30
ACC262,49,05/05/2017 23:24
ACC281,58,11/03/2017 10:00
ACC309,39,04/02/2017 15:46
ACC329,41,08/02/2017 09:26
ACC290,49,16/05/2017 22:41
ACC120,89,27/03/2017 10:24
ACC326,18,10/01/2017 10:44
ACC392,78,30/05/2017 07:42
ACC131,49,20/04/2017 17:15
ACC240,99,12/04/2017 10:31
ACC217,38,15/01/2017 16:11
ACC234,26,31/03/2017 02:18
ACC453,17,26/05/2017 08:55
ACC318,47,14/04/2017 22:43
ACC456,83,18/02/2017 14:42
ACC316,97,10/03/2017 12:46
ACC494,66,24/02/2017 10:19
ACC216,12,22/03/2017 22:40
ACC400,9,27/01/2017 16:07
ACC113,63,08/03/2017 16:36
ACC245,84,12/04/2017 10:36
ACC466,54,10/01/2017 03:50
ACC133,43,21/05/2017 01:03
ACC378,45,06/05/2017 09:19
ACC335,8,06/04/2017 15:36
ACC392,1,07/05/2017 03:03
ACC338,91,05/03/2017 11:26
ACC474,87,15/03/2017 17:13
ACC179,9,16/05/2017 12:28
ACC194,79,23/02/2017 07:01
ACC193,46,18/01/2017 23:54
ACC148,40,07/02/2017 09:10
ACC147,96,15/02/2017 09:14
ACC471,86,14/02/2017 02:53
ACC390,67,08/04/2017 04:26
ACC466,30,27/03/2017 17:46
ACC267,78,28/04/2017 12:33
ACC342,23,19/05/2017 04:53
ACC464,56,09/02/2017 00:20
ACC480,8,28/02/2017 08:59
